_id,name,description,price,picture,__v
6884aa2e6174582c8a2dfc1a,Gummy Bears,"Colorful, chewy gummy bears with fruity flavors.",30,1753524782205.jpg,0
6884aa566174582c8a2dfc1d,Choco Bar,Rich and creamy chocolate bar for sweet cravings.,30,1753524822862.jpg,0
6884aa756174582c8a2dfc20,Lollipop,Classic hard candy in a stick in various flavors.,15,1753524853822.jpg,0
6884aa986174582c8a2dfc23,Sour Candies,Tangy and sour candies that give a zesty kick.,20,1753524888025.jpg,0
6884aab86174582c8a2dfc26,Sour Worms,"Wiggly, sugary sour worms with fruity punch.",26,1753524920232.webp,0
6884aae86174582c8a2dfc29,Chewy Dragees,"Crunchy on the outside, chewy inside candy bites.",15,1753524968053.webp,0
6884ab076174582c8a2dfc2c,Chocolate Candies,Bite-sized milk chocolate treats with a glossy shell.,12,1753524999856.webp,0
6884ab2a6174582c8a2dfc2f,Jelly Filled Chewy Candy,Soft chewy candy filled with fruity jelly goodness.,18,1753525034605.jpg,0
6884ab496174582c8a2dfc32,Menthol Candy,"Cool, minty candies for a refreshing breath.",25,1753525065673.jpeg,0
6884ab6e6174582c8a2dfc35,Pastillas Candy,"Soft, creamy Filipino milk candy with a sugary coat.",29,1753525102238.jpeg,0
